Time [s],Voltage [V],Current [A],Negative electrode potential [V],Positive electrode potential [V]
135552.0826,3.7531607,0,0.1316278,3.8847885
135552.131,3.7530844,-3.94E-07,0.13178049,3.8848648
135552.1328,3.7465012,-0.127142113,0.1342032,3.8807044
135552.133,3.7453787,-1.149974576,0.13476439,3.8801432
135552.1332,3.7433872,-1.149917236,0.13527349,3.8786607
135552.136,3.7422609,-1.150005519,0.13575067,3.8780117
135552.32,3.741173,-1.150014802,0.13536891,3.8765419
135554.1138,3.7401421,-1.150017049,0.13590336,3.8760455
135557.4052,3.7391114,-1.150026696,0.13632329,3.8754346
135561.2158,3.7380233,-1.150031205,0.13670503,3.8747282
135566.1024,3.7370117,-1.150037093,0.13699134,3.8740029
135570.819,3.7359998,-1.150041714,0.13746853,3.8734684
135576.6164,3.7349882,-1.150043362,0.13781209,3.8728004
135582.2524,3.7339573,-1.150042898,0.1380984,3.8720558
135588.7308,3.7329266,-1.150043684,0.13842289,3.8713496
135596.0706,3.7318766,-1.150044124,0.13878556,3.8706622
135602.8136,3.7308459,-1.150046641,0.13926274,3.8701086
135610.9778,3.729815,-1.150047971,0.13973992,3.869555
135618.675,3.7287843,-1.150046907,0.1400644,3.8688488
135627.7814,3.7277727,-1.15004715,0.14033163,3.8681042
135636.8522,3.7267609,-1.150047012,0.14071338,3.8674743
135646.5878,3.7257493,-1.150048717,0.14109512,3.8668444
135656.305,3.7247183,-1.150052904,0.14145778,3.8661761
135667.1498,3.7236876,-1.15005083,0.14183952,3.8655272
135679.0608,3.7226379,-1.150052956,0.1421831,3.864821
135692.4384,3.721626,-1.150051694,0.14256485,3.8641908
135705.5622,3.7206144,-1.150050487,0.14288934,3.8635037
135719.558,3.7196028,-1.150051602,0.14319472,3.8627975
135733.305,3.718591,-1.150052953,0.14346194,3.8620529
135749.7786,3.7175794,-1.150051171,0.14382461,3.8614039
135766.789,3.7165484,-1.150050634,0.14416818,3.8607166
135783.3184,3.7155178,-1.150049775,0.14443541,3.8599532
135804.1308,3.7144105,-1.150053025,0.14477898,3.8591895
135826.2087,3.7133989,-1.150051681,0.14493167,3.8583305
135846.0573,3.712368,-1.150052011,0.1451989,3.8575668
135868.7973,3.7113564,-1.150050565,0.14540885,3.8567653
135892.2027,3.7103255,-1.150048939,0.14559974,3.8559253
135917.1147,3.7093139,-1.150048968,0.1458097,3.8551235
135941.6039,3.708302,-1.150050175,0.14605783,3.8543599
135969.9861,3.7072904,-1.150049433,0.14607692,3.8533673
135997.5155,3.7062788,-1.150052281,0.1462487,3.8525274
136025.8837,3.7052479,-1.150053064,0.14638232,3.8516302
136054.9391,3.704217,-1.150052523,0.14638232,3.8505993
136085.9825,3.7032053,-1.150048816,0.14649683,3.8497021
136114.5943,3.7021744,-1.150049131,0.14670679,3.8488812
136145.0703,3.7011435,-1.150050209,0.14668772,3.8478312
136146.3287,3.7021744,-1.1500504,0.14619143,3.8483658
136148.6137,3.7011054,-1.15004914,0.14661136,3.8477168
136182.6777,3.7000747,-1.150050835,0.14668772,3.8467624
136212.2855,3.6990628,-1.150049653,0.14670679,3.8457696
136242.9389,3.6980321,-1.150049868,0.14687859,3.8449106
136276.4361,3.6970012,-1.150050529,0.14682132,3.8438225
136311.5261,3.6959896,-1.150054684,0.1468595,3.842849
136344.5949,3.6949015,-1.150054598,0.1469931,3.8418946
136378.8339,3.6938324,-1.150053684,0.14705037,3.8408828
136413.6295,3.6928017,-1.15005212,0.14710763,3.8399093
136448.4959,3.6916754,-1.150051093,0.14710763,3.838783
136452.083,3.6919808,-1.150051204,0.14708854,3.8390694
136452.1312,3.7045598,0,0.14327107,3.8478308
136452.1332,3.7034721,0,0.14325199,3.846724
136452.7378,3.7045028,0,0.14300385,3.8475068
136455.5556,3.7055337,0,0.14241214,3.8479459
136459.4272,3.7065454,0,0.14199223,3.8485377
136464.4116,3.707557,0,0.141725,3.849282
136469.8778,3.7085879,0,0.14119056,3.8497784
136476.1038,3.7096758,0,0.14073245,3.8504083
136484.1768,3.7107067,0,0.14033163,3.8510382
136492.0126,3.7117186,0,0.13993078,3.8516493
136500.563,3.7128253,0,0.13933909,3.8521645
136510.571,3.7138753,0,0.13886189,3.8527372
136521.5614,3.7149062,0,0.13848016,3.8533864
136533.79,3.7159178,0,0.1379648,3.8538826
136546.86,3.7169294,0,0.13744944,3.8543789
136560.024,3.7179413,0,0.13687682,3.8548181
136578.5864,3.7189529,0,0.1364378,3.8553908
136595.6878,3.7199645,0,0.13582702,3.8557916
136615.4108,3.7209764,0,0.13533074,3.856307
136644.1288,3.7220452,0,0.13483447,3.8568797
136674.0522,3.723057,0,0.13431911,3.8573761
136708.6386,3.7240686,0,0.13376558,3.8578341
136757.0974,3.7251184,0,0.13330749,3.8584259
136817.0974,3.7257483,0,0.13292573,3.858674
136867.4278,3.7267599,0,0.13246764,3.8592277
136927.4278,3.7271037,0,0.13231494,3.8594186
136987.4278,3.7273901,0,0.13208589,3.8594759
137047.4278,3.7277908,0,0.13187593,3.8596668
137107.4279,3.7280579,0,0.13181867,3.8598766
137167.4279,3.7283826,0,0.13176142,3.8601439
137227.4279,3.7285926,0,0.1316278,3.8602204
137287.4279,3.7287261,0,0.13164689,3.860373
